"is_active","publication_year","category_id","created_at","id","price","updated_at","author","cover_image_url","description","isbn","title"
1,2018,3,"2026-04-02 14:10:10",17,123000,"2026-04-02 14:10:10",Cambridge University,https://cdn1.fahasa.com/media/catalog/product/i/m/img_7743.jpg,"","9781108446556",Cambridge English Flyers 1 for Revised Exam from 2018 Student's Book
1,2022,3,"2026-04-02 14:10:10",18,405000,"2026-04-02 14:10:10","Adrian Doff, Craig Thaine, Herbert Puchta, Jeff Stranks, Peter Lewis-Jones",https://cdn1.fahasa.com/media/catalog/product/9/7/9781009358736.jpg,"","9781009358736",Empower Starter A1 Student's Book With Digital Pack - 2nd Edition
1,2017,3,"2026-04-02 14:10:10",19,183000,"2026-04-02 14:10:10",Stuart Redman,https://cdn1.fahasa.com/media/catalog/product/i/m/img_7596.jpg,"Vocabulary explanations and practice for pre-intermediate level (B1) learners of English. Perfect for both self-study and classroom activities. Quickly expand your vocabulary with over 100 units of easy to understand explanations and practice exercises. Be confident about what you are learning, thanks to Cambridge research into how English is really spoken and written, and get better at studying by yourself, with units on learning vocabulary, personalised practice and an easy to use answer key.","9781108430470",English Vocabulary in Use: Pre-Intermediate and Intermediate Book with Answers Fahasa Reprint Edition: Vocabulary Reference and Practice (Kèm CD)
1,2021,3,"2026-04-02 14:10:10",20,253000,"2026-04-02 14:10:10","Christina de la Mare, Clive Oxenden, Jerry Lambert",https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_31752.jpg,"","9780194906166",American English File: Level 1: Students Book With Online Practice - 3rd Edition
1,2022,3,"2026-04-02 14:10:10",21,150000,"2026-04-02 14:10:10",Cambridge English,https://cdn1.fahasa.com/media/catalog/product/9/7/9781009282055.jpg,"","9781009282055",A2 Flyers 4 Authentic Practice Tests: Student's Book Without Answers With Audio - FAHASA Reprint Edition
1,2018,3,"2026-04-02 14:10:10",22,123000,"2026-04-02 14:10:10",Cambridge University Press,https://cdn1.fahasa.com/media/catalog/product/n/e/new_doc_2018-05-17_17.08.11_1.jpg,Cambridge University Cambridge English Flyers 2 for Revised Exam From 2018 Student's Book,"9781108464833",Cambridge English Flyers 2 for Revised Exam From 2018 Student's Book
1,2020,3,"2026-04-02 14:10:10",23,627000,"2026-04-02 14:10:10","Diana Lea, Jennifer Bradbery",https://cdn1.fahasa.com/media/catalog/product/9/7/9780194798488-dd.jpg,"","9780194798488",Oxford Advanced Learner's Dictionary: Paperback - 10th Edition (With 1 Year's Access To Both Premium Online And App)
1,2022,3,"2026-04-02 14:10:10",24,405650,"2026-04-02 14:10:10",Peter Anderson,https://cdn1.fahasa.com/media/catalog/product/9/7/9781108961462.jpg,"","9781108961462",Empower B1 Pre-Intermediate - Workbook With Answers (2nd Edition)
1,2018,1,"2026-04-02 14:10:10",25,268000,"2026-04-02 14:10:10",Macmillan Education,https://cdn1.fahasa.com/media/catalog/product/9/7/9781035117215.jpg,"English World is a stunningly visual ten-level course which will take children through from primary to secondary. Written by the authors of best-sellers Way Ahead and Macmillan English, English World combines best practice methodology with innovative new features for the modern classroom.","9781035117215",English World 4 Pupil's Book With eBook
1,2021,3,"2026-04-02 14:10:10",26,336000,"2026-04-02 14:10:10","Emily Bryson, Christien Lee",https://cdn1.fahasa.com/media/catalog/product/9/7/9780357458655.jpg,"","9780357458655",Voices Pre-Intermediate A2/B1: Student's Book BRE
1,2012,3,"2026-04-02 14:10:10",27,369000,"2026-04-02 14:10:10",Mark Harrison,https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9781107695962-9781107675452.jpg,"1. Complete IELTS B2 Student's Book with answer & CD-Rom","",Combo Complete IELTS B2: Student's Book + Workbook (with answer & Audio CD)
1,2022,4,"2026-04-02 14:10:10",28,423000,"2026-04-02 14:10:10",R. F Kuang,https://cdn1.fahasa.com/media/catalog/product/a/1/a1lv97-jjol._sl1500_1.jpg,"","9780063021426",Babel
