"cover_image_url","title","price","author","category_id"
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_193865.jpg","Advanced Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Advanced Learners of English","169000","",9
"https://cdn1.fahasa.com/media/catalog/product/9/7/9781108919289.jpg","Prepare A2 Level 2 Workbook With Audio Download","113000","",9
"https://cdn1.fahasa.com/media/catalog/product/9/7/9781035116881.jpg","English World 1 Pupil's Book With eBook","268000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/img_7504.jpg","English Vocabulary in Use: Upper-Intermediate Book with Answers Fahasa Reprint Edition: Vocabulary Reference and Practice","183000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_193839.jpg","GET READY FOR MOVERS: SB WITH DOWNLOADABLE AUDIO: MAXIMIZE CHANCES OF EXAM","392000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_1894.jpg","Cambridge IELTS 7 With Answers (Ngôn ngữ Tiếng Anh) (Không Kèm Audio)","150000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_15599.jpg","A2 Key for Schools Trainer 1 for the Revised 2020 Exam Six Practice test With Answers and Teacher's Notes With Downloadable Audio","222300","",9
"https://cdn1.fahasa.com/media/catalog/product/9/7/9786041055421_1.jpg","Oxford Advanced Learner's Dictionary With Vietnamese Translation (Paperback)","593000","",3
"https://cdn1.fahasa.com/media/catalog/product/9/7/9780194169790.jpg","Oxford Phonics World 1 - The Alphabet - Student's Book","380000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_31748.jpg","Q: Skills For Success: Level 3: Listening And Speaking Student Book With iQ Online Practice - 3rd Edition","271000","",9
"https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9781107645523-9781107665774.jpg","Combo Complete IELTS B1 Student's Book + Workbook with answer (CD-ROM & Audio CD) (Bộ 2 Cuốn)","369000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_195509_1_31751.jpg","American English File: Starter: Students Book With Online Practice - 3rd Edition","253000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_140806.jpg","Norwegian Wood","270900","",4
"https://cdn1.fahasa.com/media/catalog/product/9/7/9781804950760.jpg","Blood Over Bright Haven","261000","",23
"https://cdn1.fahasa.com/media/catalog/product/9/7/9781108825955.jpg","Prepare A2 Level 3 Student's Book","251000","",9
"https://cdn1.fahasa.com/media/catalog/product/9/7/9780099582649.jpg","Anne of Green Gables (Vintage Classics)","240300","",1
"https://cdn1.fahasa.com/media/catalog/product/9/7/9780357979921.jpg","Pathways Reading, Writing, And Critical Thinking 3 - Student's Book + Spark Sticker (3rd Edition)","391000","",9
"https://cdn1.fahasa.com/media/catalog/product/9/7/9784088843773.jpg","呪術廻戦 29 - Jujutsu Kaisen 29","146000","",10
"https://cdn1.fahasa.com/media/catalog/product/9/7/9798214085647.jpg","Reading Explorer 3 - Student's Book With The Spark Platform (Third Edition)","378000","",9
"https://cdn1.fahasa.com/media/catalog/product/i/m/image_227505.jpg","チェンソーマン 6 - Chainsaw Man 6","136800","",10
